SQLDATE,Actor1Name,Actor2Name,EventCode,EventBaseCode,EventRootCode,AvgTone,NumArticles,ActionGeo_FullName,text_input
2025-04-19,BENIN,BURKINA FASO,114,114,11,-8.75576036866359,2,"Koudou, Benin (general), Benin","BENIN 114 114 11 BURKINA FASO Koudou, Benin (general), Benin"
2025-04-19,BENIN,NIGER,114,114,11,-8.75576036866359,10,"Koudou, Benin (general), Benin","BENIN 114 114 11 NIGER Koudou, Benin (general), Benin"
2025-04-19,BENIN,BURKINA FASO,114,114,11,-8.75576036866359,8,"Koudou, Benin (general), Benin","BENIN 114 114 11 BURKINA FASO Koudou, Benin (general), Benin"
2026-01-21,BENIN,,22,22,2,0.19685039370079,4,Benin,BENIN 22 22 2 Benin
2025-08-19,BENIN,,186,186,18,-6.10169491525424,10,Benin,BENIN 186 186 18 Benin
2026-02-02,BENIN,NIGERIA,31,31,3,-2.4896265560166,1,Benin,BENIN 31 31 3 NIGERIA Benin
2025-04-14,BENIN,,73,73,7,-4.16666666666667,2,Benin,BENIN 73 73 7 Benin
2025-04-14,BENIN,NIGERIA,31,31,3,-0.92918131592164,1,Benin,BENIN 31 31 3 NIGERIA Benin
2025-03-08,BENIN,MINISTRY,182,182,18,-4.43199184921039,4,Benin,BENIN 182 182 18 MINISTRY Benin
2025-10-31,BENIN,NIGERIA,138,138,13,-6.82196339434276,1,Benin,BENIN 138 138 13 NIGERIA Benin
2026-03-09,BENIN,EMBASSY,54,54,5,1.67597765363129,4,Benin,BENIN 54 54 5 EMBASSY Benin
2025-03-12,BENIN,,128,128,12,-10.6463878326996,4,Benin,BENIN 128 128 12 Benin
2025-01-26,BENIN,,874,87,8,4.47470817120623,4,Benin,BENIN 874 87 8 Benin
2025-12-30,BENIN,,181,181,18,-3.77777777777777,1,Benin,BENIN 181 181 18 Benin
2025-12-30,BENIN,INSPECTOR GENERAL,214,21,2,-3.77777777777777,2,Benin,BENIN 214 21 2 INSPECTOR GENERAL Benin
2026-02-13,BENIN,,15,15,1,3.46456692913386,4,"Ganvie, Benin (general), Benin","BENIN 15 15 1 Ganvie, Benin (general), Benin"
2025-03-26,BENIN,,56,56,5,3.35570469798658,5,Benin,BENIN 56 56 5 Benin
2025-03-26,BENIN,BENIN,55,55,5,3.35570469798658,5,Benin,BENIN 55 55 5 BENIN Benin
2025-03-26,BENIN,BENIN,56,56,5,3.35570469798658,10,Benin,BENIN 56 56 5 BENIN Benin
2025-03-26,BENIN,AFRICA,45,45,4,-4.8780487804878,10,Benin,BENIN 45 45 4 AFRICA Benin
2025-01-18,BENIN,,27,27,2,2.16919739696313,4,Benin,BENIN 27 27 2 Benin
2025-01-18,BENIN,PRESIDENT,27,27,2,-6.36042402826855,2,Benin,BENIN 27 27 2 PRESIDENT Benin
2025-01-18,BENIN,EUROPEAN,174,174,17,-0.61255742725881,10,"Ouidah, Atlantique, Benin","BENIN 174 174 17 EUROPEAN Ouidah, Atlantique, Benin"
2026-01-08,BENIN,,241,24,2,0.58139534883721,10,"Djougou, Donga, Benin","BENIN 241 24 2 Djougou, Donga, Benin"
2026-01-08,BENIN,,241,24,2,-0.23041474654378,10,Benin,BENIN 241 24 2 Benin
2026-03-22,BENIN,,128,128,12,4.17457305502846,4,Benin,BENIN 128 128 12 Benin
2025-02-13,BENIN,,26,26,2,-0.46082949308756,2,Benin,BENIN 26 26 2 Benin
2025-02-13,BENINESE,FRANCE,140,140,14,-4.01899890390939,1,"Kandi, Alibori, Benin","BENINESE 140 140 14 FRANCE Kandi, Alibori, Benin"
2025-02-13,BENINESE,FRENCH,140,140,14,-4.01899890390939,5,"Kandi, Alibori, Benin","BENINESE 140 140 14 FRENCH Kandi, Alibori, Benin"
2025-02-13,BENIN,NIGER,161,161,16,-1.20845921450151,2,Benin,BENIN 161 161 16 NIGER Benin
2025-09-19,BENIN,BENIN,22,22,2,6.35451505016723,10,Benin,BENIN 22 22 2 BENIN Benin
